id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,0,0,1,https://chentuo.asia,chentuo.asia,0,chentuo.asia,110.42.178.227,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='chentuo.asia', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106bb3700>: Failed to establish a new connection: [Errno 61] Connection refused'))""),)",,,110.42.128.0/17,AS-,-,ä¸___º¬__º¬å¸,__,IP138Query
6,1,1,1,http://chentuo.asia,chentuo.asia,0,chentuo.asia,110.42.178.227,1,0,80,404,Not Found,Not Found,,110.42.128.0/17,AS-,-,ä¸___º¬__º¬å¸,__,IP138Query
2,0,0,1,https://www.chentuo.asia,www.chentuo.asia,1,www.chentuo.asia,1.117.52.219,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='www.chentuo.asia', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x109011fd0>: Failed to establish a new connection: [Errno 61] Connection refused'))""),)",,,1.116.0.0/15,AS-,-,ä¸___º¬__º¬å¸,__,FullHuntAPIQuery
5,1,1,1,http://www.chentuo.asia,www.chentuo.asia,1,www.chentuo.asia,1.117.52.219,1,0,80,200,OK,phpinfo(),nginx,1.116.0.0/15,AS-,-,ä¸___º¬__º¬å¸,__,FullHuntAPIQuery
3,0,0,1,https://x.chentuo.asia,x.chentuo.asia,1,x.chentuo.asia,110.42.178.227,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='x.chentuo.asia', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106cd2bb0>: Failed to establish a new connection: [Errno 61] Connection refused'))""),)",,,110.42.128.0/17,AS-,-,ä¸___º¬__º¬å¸,__,FullHuntAPIQuery
4,1,1,1,http://x.chentuo.asia,x.chentuo.asia,1,x.chentuo.asia,110.42.178.227,1,0,80,404,Not Found,Not Found,,110.42.128.0/17,AS-,-,ä¸___º¬__º¬å¸,__,FullHuntAPIQuery
