https://dangan.sdju.edu.cn ('None', 'Server', 200, '档案馆')
https://cwc.sdju.edu.cn ('None', 'Server', 200, '财务处')
https://wgyxy.sdju.edu.cn ('None', 'Server', 200, '外国语学院')
http://hr.sdju.edu.cn ('None', 'Server', 200, '人力资源处')
http://news.sdju.edu.cn ('None', 'Server', 200, '新闻网')
http://jgdw.sdju.edu.cn ('None', 'Server', 200, '机关党委')
https://sei.sdju.edu.cn ('None', 'Server', 200, '电子信息学院')
http://cyy.sdju.edu.cn ('None', 'Server', 200, '产业技术研究院')
http://regret.sdju.edu.cn ('None', 'Server', 200, 'None')
http://sd.sdju.edu.cn ('None', 'Server', 200, 'None')
https://sysxzx.sdju.edu.cn ('None', 'Server', 200, 'None')
http://info.sdju.edu.cn ('None', 'Server', 200, '信息化中心')
https://xb.sdju.edu.cn ('None', 'Server', 200, '校长办公室')
https://wenli.sdju.edu.cn ('None', 'Server', 200, '文理学院')
http://wlaq.sdju.edu.cn ('None', 'Server', 200, '网络安全宣传专题网')
https://wlaq.sdju.edu.cn ('None', 'Server', 200, '网络安全宣传专题网')
http://tuanwei.sdju.edu.cn ('None', 'Server', 200, '团委')
http://xsc.sdju.edu.cn ('None', 'Server', 200, '党委学生工作部')
https://xcb.sdju.edu.cn ('None', 'Server', 200, '上海电机学院党委宣传部')
https://hr.sdju.edu.cn ('None', 'Server', 200, '人力资源处')
http://xtcx.sdju.edu.cn ('None', 'Server', 200, '上海市大型铸锻件制造技术协同创新中心')
http://dwgk.sdju.edu.cn ('None', 'Server', 200, '党务公开网')
https://regret.sdju.edu.cn ('None', 'Server', 200, 'None')
https://wmzx.sdju.edu.cn ('None', 'Server', 200, '文明在线')
http://ddh.sdju.edu.cn ('None', 'Server', 200, '党代会')
https://xtcx.sdju.edu.cn ('None', 'Server', 200, '上海市大型铸锻件制造技术协同创新中心')
http://xcb.sdju.edu.cn ('None', 'Server', 200, '上海电机学院党委宣传部')
https://visual.sdju.edu.cn ('None', 'Server', 200, '图库网站')
https://jgdw.sdju.edu.cn ('None', 'Server', 200, '机关党委')
http://lib.sdju.edu.cn ('None', 'Server', 200, '图书馆')
http://visual.sdju.edu.cn ('None', 'Server', 200, '图库网站')
https://yywz.sdju.edu.cn ('None', 'Server', 200, '上海电机学院语言文字网')
http://mks.sdju.edu.cn ('None', 'Server', 200, '马克思主义学院')
http://wgyxy.sdju.edu.cn ('None', 'Server', 200, '外国语学院')
https://zuzhi.sdju.edu.cn ('None', 'Server', 200, '党委组织部')
http://sjc.sdju.edu.cn ('None', 'Server', 200, '审计处')
http://zlgl.sdju.edu.cn ('None', 'Server', 200, '教学质量管理办公室')
http://xyh.sdju.edu.cn ('None', 'Server', 200, '校友会')
http://sei.sdju.edu.cn ('None', 'Server', 200, '电子信息学院')
https://lib.sdju.edu.cn ('None', 'Server', 200, '图书馆')
http://yywz.sdju.edu.cn ('None', 'Server', 200, '上海电机学院语言文字网')
http://wenli.sdju.edu.cn ('None', 'Server', 200, '文理学院')
http://yjs.sdju.edu.cn ('None', 'Server', 200, '研究生处')
https://tuanwei.sdju.edu.cn ('None', 'Server', 200, '团委')
http://xb.sdju.edu.cn ('None', 'Server', 200, '校长办公室')
http://sysxzx.sdju.edu.cn ('None', 'Server', 200, 'None')
https://xq.sdju.edu.cn ('None', 'Server', 200, '校庆网')
http://zhaosheng.sdju.edu.cn ('None', 'Server', 200, '招生网')
https://zhaosheng.sdju.edu.cn ('None', 'Server', 200, '招生网')
https://zbb.sdju.edu.cn ('None', 'Server', 200, '招投标办公室')
https://zwgk.sdju.edu.cn ('None', 'Server', 200, '信息公开网')
https://zlgl.sdju.edu.cn ('None', 'Server', 200, '教学质量管理办公室')
https://sxy.sdju.edu.cn ('None', 'Server', 200, '上海电机学院 - 商学院')
https://www.sdju.edu.cn ('None', 'Server', 200, '上海电机学院')
https://xyh.sdju.edu.cn ('None', 'Server', 200, '校友会')
http://sxy.sdju.edu.cn ('None', 'Server', 200, '上海电机学院 - 商学院')
http://xq.sdju.edu.cn ('None', 'Server', 200, '校庆网')
https://info.sdju.edu.cn ('None', 'Server', 200, '信息化中心')
https://libin.sdju.edu.cn ('None', 'Server', 200, '上海电气李斌技师学院')
http://wmzx.sdju.edu.cn ('None', 'Server', 200, '文明在线')
http://zbb.sdju.edu.cn ('None', 'Server', 200, '招投标办公室')
